#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allowed_to_serve_holy_order;Allowed to Join Order;Autorisé à l'ordre de jointure;Dem Orden beitreten dürfen;;Mascotas a unirse a orden;;;;;;;;;x
EVTOPTA_ancrel_1235;I showed my toughness;J’ai prouvé ma force.;Ich zeigte meine Zähigkeit;;Ahí demostré mi carácter.;;;;;;;;;x
EVTDESC_ancrel_1236;I have been long renowned for my roughness, but in the recent game of hurling the enemy team took us by surprise and yet I still led from the front and steered us to victory.;J’ai longtemps eu la réputation d’être quelqu’un de fort, mais au cours de la récente mêlée, l’ennemi nous a pris par surprise. Je n’ai pas renoncé et nous avons remporté la victoire.;Ich bin seit langem für meine Härte bekannt, aber in der letzten Partie des Schleuderspiels wurden wir vom gegnerischen Team überrumpelt, und trotzdem habe ich die Führung übernommen und uns zum Sieg geführt.;;Hace tiempo que se me conoce por mi firmeza pero, en el último combate, el enemigo nos sorprendió y aun así conseguí liderar desde el frente hacia la victoria.;;;;;;;;;x
EVTOPTA_ancrel_1236;My skill shined through;Mes compétences sont indéniables.;Mein Können hat geglänzt;;Demostré de lo que era capaz.;;;;;;;;;x
EVTDESC_ancrel_1237;The game was challenging and my skills were renowned. Our valiant foe men were had prepared well but if it wasn't a moment of brilliance by myself they would of triumphed;La mêlée était féroce et mes compétences indéniables. Nos courageux adversaires s’étaient bien préparés, mais ne pouvaient rien face à notre supériorité.;Das Spiel war eine Herausforderung, und meine Fähigkeiten waren bekannt. Unsere tapferen gegnerischen Männer hatten sich gut vorbereitet, aber ohne einen brillanten Moment von mir hätten sie triumphiert.;;La contienda estuvo reñida y mis habilidades fueron reconocidas. Se la teníamos bien preparada a nuestros valientes adversarios, pero si no llega a ser por mi momento de brillantez, habrían ganado.;;;;;;;;;x
EVTOPTA_ancrel_1237;I was brilliant;J’excelle !;Ich war brillant;;Estuve brillante.;;;;;;;;;x
EVTDESC_ancrel_1238;I am known for my brilliance but the enemy had developed a counter. Word has spread and my brilliance is diminished.;J’ai la réputation d’exceller, mais l’ennemi me résiste. La rumeur s’est répandue et mon excellence a diminué.;Ich bin für meine Brillanz bekannt, aber der Feind hatte einen Gegenschlag entwickelt. Es hat sich herumgesprochen, und meine Brillanz ist geschwunden.;;Aunque todos conocen mi brillantez, el enemigo había preparado una estratagema. La voz se ha corrido y mi reputación ha bajado.;;;;;;;;;x
EVTOPTA_ancrel_1238;Not good;Ce n’est pas bon.;Nicht gut;;No me gusta nada.;;;;;;;;;x
EVTDESC_ancrel_1239;My skills are well known, but it seems there is a counter. More have heard about it. ;Mes compétences sont bien connues, mais l’ennemi résiste et beaucoup en ont eu vent. ;Meine Fähigkeiten sind weithin bekannt, aber es scheint, als gäbe es ein Gegenmittel. Immer mehr haben davon gehört. ;;Todos conocen mis habilidades, pero parece que hay una estratagema de por medio. Casi todos lo saben. ;;;;;;;;;x
EVTOPTA_ancrel_1239;But I am still tough;Je reste quelqu’un de fort.;Aber ich bin immer noch stark;;Pero aun así podré lograrlo.;;;;;;;;;x
EVTDESC_ancrel_1240;In a recent game of Hurling the toughness I habitually show has been proven to be misguided.;Au cours d’une récente mêlée, la force dont je fais habituellement preuve a été mise à mal.;Bei einem kürzlichen Hurlingspiel hat sich meine gewohnte Härte als falsch erwiesen.;;En un combate reciente, he demostrado no poseer tanta fortaleza como pensaban.;;;;;;;;;x
EVTOPTA_ancrel_1240;I feel lessened;Je me sens moins fort(e).;Ich fühle mich geschwächt;;Me siento inferior.;;;;;;;;;x
EVTDESC_ancrel_1241;I was taking part in the Tailteann Games and enjoying the camaraderie with the other entrants when a queer feeling came over me.;Alors que je participais au tournoi et m’amusais avec les autres, un sentiment étrange m’a envahi.;Ich nahm an den Tailteann Games teil und genoss die Kameradschaft mit den anderen Teilnehmern, als mich ein seltsames Gefühl überkam.;;Participando en el torneo y disfrutando de la camaradería con los otros competidores, noté como algo se despertó en mí.;;;;;;;;;x
EVTOPTA_ancrel_1241;I dare not speak its name;Je n’ose pas en dire plus.;Ich wage nicht, seinen Namen auszusprechen.;;Mejor no voy a decir más.;;;;;;;;;x
EVTDESC_ancrel_1242;The tailteann games are such fun, and it is not just the taking part it is all the other entertainments available. Then I noticed a strange sore on my body in a place I would much rather not mention.;Les tournois sont plaisants et j’ai apprécié de participer aux différentes activités proposées. Mais j’ai ressenti une étrange douleur à un endroit que je n’ose mentionner.;Die Tailteann-Spiele machen so viel Spaß, und es geht nicht nur um die Teilnahme, sondern auch um all die anderen Unterhaltungsangebote. Dann bemerkte ich eine seltsame Wunde an meinem Körper, an einer Stelle, die ich lieber nicht nennen möchte.;;Los torneos son tan divertidos... No todo es participar, también puedes encontrar otro tipo de diversión. En aquel momento, me vino una extraña picazón en un lugar del cuerpo que mejor no mencionaré.;;;;;;;;;x
EVTOPTA_ancrel_1242;Probably nothing to worry about;Il n’y a sûrement pas lieu de s’en inquiéter.;Wahrscheinlich nichts, worüber man sich Sorgen machen müsste;;Seguro que no es nada preocupante.;;;;;;;;;x
EVTDESC_ancrel_1243;The games did not go well, but not badly either. I had prepared for months for this and at the end of the day I was simply not good enough. I had turned to solace in drink. When it was over a few morning later I felt terrible and the hair of the dog seemed like the answer.;Sans être catastrophique, le tournoi ne s’est pas très bien passé. Des mois durant, je m’y étais préparé(e) pour, au final, ne pas vraiment être à la hauteur. J’ai bu pour me consoler. Quelques jours tard, je me suis réveillé(e) avec une terrible gueule de bois.;Die Spiele liefen nicht gut, aber auch nicht schlecht. Ich hatte mich monatelang darauf vorbereitet, und am Ende des Tages war ich einfach nicht gut genug. Ich hatte mich mit Alkohol getröstet. Als es ein paar Morgen später vorbei war, fühlte ich mich schrecklich, und das Haar des Hundes schien die Antwort zu sein.;;El torneo no fue bien, pero tampoco mal del todo. Me había estado preparando durante meses y, al cabo del día, no lograba estar a la altura. Decidí darme a la bebida y a la soledad. Varias mañanas después me sentí fatal, y pensé que una copita de más me quitaría la resaca.;;;;;;;;;x
EVTOPTA_ancrel_1243;One more drink won't hurt.;Un petit verre de plus ne me fera pas de mal.;Ein weiterer Drink kann nicht schaden.;;Por una copita más, no pasará nada.;;;;;;;;;x
EVTDESC_ancrel_1244;While I was at the tailteann games some lower class type with pretensions insulted my honor. I could only do what a man of my class could do and challenged him to a duel. Naturally he was no match for me.;Lors du tournoi, un homme issu d’une classe inférieure a piqué mon honneur au vif. J’ai fait ce qu’une personne mon rang doit faire et je l’ai défié en duel. Bien sûr, il n’était pas en mesure de rivaliser avec moi.;Während ich bei den Tailteann-Spielen war, beleidigte irgendein Unterschichtstyp mit Anspruch meine Ehre. Ich konnte nur tun, was ein Mann meiner Klasse tun konnte, und forderte ihn zu einem Duell heraus. Natürlich war er kein Gegner für mich.;;Durante el torneo, un pretencioso tipejo de baja alcurnia puso en duda mi honor. Hice lo que haría cualquier hombre de mi categoría: lo reté a un duelo. Por supuesto, no era rival para mí.;;;;;;;;;x
EVTOPTA_ancrel_1244;I learnt something about myself.;J’ai appris quelque chose me concernant.;Ich lernte etwas über mich selbst.;;Aprendí algo de mí mismo.;;;;;;;;;x
EVTDESC_ancrel_1245;I was at the tailteann games and although I did not have an opportunity to distinguish myself in the competitions I was sitting around and listening two entrants plot together to advantage themselves in the next bought. I listened carefully to their plan and I instantly saw the flaws.;Lors du tournoi, et alors que je n’avais pas encore réussi à me distinguer, j’ai entendu deux chevaliers comploter pour prendre l’avantage lors de l’exercice suivant. J’ai écouté avec attention la manière dont ils envisageaient de procéder, décelant d’emblée les points faibles de leur plan.;Ich war bei den Tailteann-Spielen, und obwohl ich keine Gelegenheit hatte, mich bei den Wettkämpfen auszuzeichnen, saß ich herum und hörte zu, wie zwei Teilnehmer gemeinsam einen Plan schmiedeten, um sich beim nächsten Kauf einen Vorteil zu verschaffen. Ich hörte mir ihren Plan genau an und sah sofort die Schwachstellen.;;Estaba en el torneo y, aunque no tuve la oportunidad de sobresalir en el combate, me senté a escuchar a dos caballeros hablar sobre cómo podrían sacar partido de la próxima ronda. Escuché a su plan detenidamente y enseguida vi los puntos flacos.;;;;;;;;;x
EVTOPTA_ancrel_1245;Intriguing;Intriguant.;Fesselnd;;Interesante.;;;;;;;;;x
EVTDESC_ancrel_1246;I was at the tailteann games and although I did not have an opportunity to distinguish myself in the competitions I was sitting around and listening two entrants plot together to advantage themselves in the next bought. I lent offered some advice, how was I supposed to know?.;Lors du tournoi, et alors que je n’avais pas encore réussi à me distinguer, j’ai entendu deux chevaliers comploter pour prendre l’avantage lors de l’exercice suivant. Je les ai conseillés. Comment pouvais-je savoir ?;Ich war bei den Tailteann-Spielen, und obwohl ich keine Gelegenheit hatte, mich in den Wettbewerben auszuzeichnen, saß ich herum und hörte zu, wie zwei Teilnehmer gemeinsam einen Plan schmiedeten, um sich beim nächsten Kauf einen Vorteil zu verschaffen. Ich lieh mir einen Rat, woher sollte ich das wissen?;;Estaba en el torneo y, aunque no tuve la oportunidad de sobresalir en el combate, me senté a escuchar a dos caballeros hablar sobre cómo podrían sacar partido de la próxima compra. Entonces les ofrecí mi consejo, ¿cómo iba a saberlo?;;;;;;;;;x
EVTOPTA_ancrel_1246;Oops;Oups!;Oops;;Vaya;;;;;;;;;x
EVTDESC_ancrel_1247;While at the tailteann games I was listening to some lesser Lordling describe how he collected tithes from his serfs. As I listened I realized he was giving his serf plenty of ways of avoiding giving their due.;Lors du tournoi, j’ai entendu un Seigneur raconter la manière dont il percevait des dîmes auprès de ses serfs et constaté qu’il offrait à ceux-ci de multiples moyens de ne rien lui verser.;Bei den Tailteann-Spielen hörte ich zu, wie ein kleiner Lordling beschrieb, wie er den Zehnten von seinen Leibeigenen eintrieb. Als ich zuhörte, wurde mir klar, dass er seinen Leibeigenen eine Menge Möglichkeiten gab, sich vor der Abgabe ihrer Schulden zu drücken.;;Durante el torneo, escuché a uno de esos señoritingos de poca clase explicar cómo se quedaba con los diezmos de sus siervos. A medida que escuchaba, supe que daba a sus siervos innumerables razones para no pagarles.;;;;;;;;;x
EVTOPTA_ancrel_1247;I kept this knowledge to myself;J’ai gardé cette constatation pour moi.;Ich behielt dieses Wissen für mich.;;Decidí mantener esto en secreto.;;;;;;;;;x
EVTDESC_ancrel_1248;While at the tailteann games I joined in a conversation with other chiefs on how best to collect tithes. I saw a far easier way and it caused quite an argument with many Chiefs disagreeing with my stance, but the more I talked the more I convinced myself that I was right.;Lors du tournoi, j’ai suivi une conversation avec d’autres seigneurs sur la meilleure manière de percevoir des dîmes. J’ai indiqué qu’il existait un moyen bien plus simple d’y parvenir, mais bon nombre de chevaliers n’étaient pas d’accord. Cela étant, plus je parlais et plus il m’apparaissait évident que j’avais raison.;Bei den Tailteann-Spielen unterhielt ich mich mit anderen Häuptlingen darüber, wie man den Zehnten am besten eintreiben konnte. Ich sah einen viel einfacheren Weg und verursachte einen ziemlichen Streit mit vielen Häuptlingen, die mit meiner Haltung nicht einverstanden waren, aber je mehr ich redete, desto mehr war ich überzeugt, dass ich Recht hatte.;;En el torneo, me uní a una conversación con otros señores sobre cuál era la mejor manera de recolectar unos diezmos. Vi un modo más fácil de hacerlo y esto causó un gran desacuerdo con muchos de ellos. Aunque, yo, cuanto más hablaba, más convencido estaba de llevar la razón.;;;;;;;;;x
EVTOPTA_ancrel_1248;But I am right, aren't I?;Mais j’ai raison, n’est-ce pas ?;Aber ich habe doch recht, oder?;;Pero estoy en lo cierto, ¿verdad?;;;;;;;;;x
EVTDESC_ancrel_1249;I was simply passing time at the tailteann games when I saw two warriors argue over honor. I knew straight away that the argument was spurious and the result would be unnecessary bloodshed. So I stepped in prevented it.;Lors du tournoi, j’ai surpris la conversation de deux chevaliers qui débattaient de la question de l’honneur. J’ai très vite compris qu’ils ne parviendraient pas à se mettre d’accord et que le sang allait couler. J’ai réagi pour éviter qu’une telle chose arrive.;Ich habe mir bei den Tailteann-Spielen einfach die Zeit vertrieben, als ich sah, wie sich zwei Krieger um die Ehre stritten. Ich wusste sofort, dass der Streit unberechtigt war und zu unnötigem Blutvergießen führen würde. Also bin ich eingeschritten und habe es verhindert.;;Tan solo estaba pasando el rato en el torneo, cuando vi a dos caballeros hablar sobre el honor. Yo ya sabía que esta discusión era espinosa y que se derramaría sangre innecesariamente, así que me inmiscuí y evité la situación.;;;;;;;;;x
EVTOPTA_ancrel_1249;I am more diplomatic than I though.;Je suis plus diplomate que je le pensais.;Ich bin diplomatischer, als ich dachte.;;Soy más diplomático de lo que pensaba.;;;;;;;;;x
EVTDESC_ancrel_1250;I was simply passing time at the tailteann games when I saw two warriors argue over honor. I knew straight away that the argument was spurious and the result would be unnecessary bloodshed. I attempted to mediate the dispute and they tell me that at least one of the knights should survive the resulting duel.;Lors du tournoi, j’ai surpris la conversation de deux chevaliers qui débattaient de la question de l’honneur. J’ai très vite compris qu’ils ne parviendraient pas à se mettre d’accord et que le sang allait couler. J’ai tenté une médiation, mais ils m’ont dit qu’un seul chevalier survivrait à l’inévitable duel.;Ich habe mir bei den Tailteann-Spielen die Zeit vertrieben, als ich sah, wie sich zwei Krieger um die Ehre stritten. Ich wusste sofort, dass der Streit unberechtigt war und ein unnötiges Blutvergießen zur Folge haben würde. Ich versuchte, den Streit zu schlichten, und sie sagten mir, dass zumindest einer der Ritter den daraus resultierenden Zweikampf überleben sollte.;;solo estaba pasando el rato en el torneo, cuando vi a dos caballeros hablar sobre el honor. Yo ya sabía que esta discusión era espinosa y que se derramaría sangre innecesariamente, así que intenté mediar y me dijeron que solo uno de ellos podía quedar vivo en el duelo que iban a disputar.;;;;;;;;;x
EVTOPTA_ancrel_1250;Oh;Oh!;Oh;;Ups.;;;;;;;;;x
EVTDESC_ancrel_1251;The great Tailteann Games will now take place, over the next days, various competitions of strength, will and creativity will be held.;;Die großen Spiele von Tailteann werden nun stattfinden, in den nächsten Tagen werden verschiedene Wettbewerbe der Stärke, des Willens und der Kreativität abgehalten.;;;;;;;;;;;x
